,0
0,0.875
1,0.875
2,0.875
3,0.875
4,0.875
5,0.875
6,0.875
7,0.875
8,0.875
9,0.875
10,0.875
11,0.875
12,0.875
13,0.875
14,0.875
15,0.875
16,0.875
17,0.875
18,0.875
19,0.875
20,0.875
21,0.875
22,0.875
23,0.875
24,0.875
25,0.875
26,0.875
27,0.875
28,0.875
29,0.875
30,0.875
31,0.875
32,0.875
33,0.875
34,0.875
35,0.875
36,0.875
37,0.875
38,0.875
39,0.875
40,0.875
41,0.875
42,0.875
43,0.875
44,0.875
45,0.875
46,0.875
47,0.875
48,0.875
49,0.875
50,0.875
51,0.875
52,0.875
53,0.875
54,0.875
55,0.875
56,0.875
57,0.875
58,0.875
59,0.875
60,0.875
61,0.875
62,0.875
63,0.875
64,0.875
65,0.8666666666666667
66,0.9285714285714286
67,0.9285714285714286
68,0.9285714285714286
69,0.9285714285714286
70,0.9285714285714286
71,0.9230769230769231
72,0.9166666666666666
73,0.9166666666666666
74,0.9166666666666666
75,0.9166666666666666
76,0.9166666666666666
77,0.9166666666666666
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
