,0
0,0.75
1,0.75
2,0.75
3,0.75
4,0.75
5,0.75
6,0.75
7,0.75
8,0.75
9,0.75
10,0.75
11,0.75
12,0.75
13,0.75
14,0.75
15,0.75
16,0.75
17,0.75
18,0.75
19,0.75
20,0.75
21,0.75
22,0.75
23,0.75
24,0.75
25,0.75
26,0.75
27,0.75
28,0.75
29,0.75
30,0.75
31,0.75
32,0.75
33,0.75
34,0.75
35,0.75
36,0.75
37,0.75
38,0.75
39,0.75
40,0.75
41,0.75
42,0.75
43,0.75
44,0.75
45,0.75
46,0.75
47,0.75
48,0.75
49,0.75
50,0.75
51,0.782608695652174
52,0.782608695652174
53,0.782608695652174
54,0.782608695652174
55,0.8181818181818182
56,0.8181818181818182
57,0.8181818181818182
58,0.8181818181818182
59,0.8181818181818182
60,0.8181818181818182
61,0.8181818181818182
62,0.8181818181818182
63,0.8571428571428571
64,0.8571428571428571
65,0.8571428571428571
66,0.85
67,0.85
68,0.85
69,0.85
70,0.8947368421052632
71,0.8947368421052632
72,0.8947368421052632
73,0.8947368421052632
74,0.9444444444444444
75,0.9444444444444444
76,0.9375
77,0.9375
78,0.9375
79,0.9375
80,0.9375
81,0.9375
82,0.9375
83,0.9375
84,0.9375
85,0.9375
86,0.9375
87,0.9333333333333333
88,0.9333333333333333
89,0.9333333333333333
90,0.9333333333333333
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
