,0
0,0.95
1,0.95
2,0.95
3,0.95
4,0.95
5,0.95
6,0.95
7,0.95
8,0.95
9,0.95
10,0.95
11,0.95
12,0.95
13,0.95
14,0.95
15,0.95
16,0.95
17,0.95
18,0.95
19,0.95
20,0.95
21,0.95
22,0.95
23,0.95
24,0.95
25,0.95
26,0.95
27,0.95
28,0.95
29,0.95
30,0.95
31,0.95
32,0.95
33,0.95
34,0.95
35,0.95
36,0.95
37,0.95
38,0.95
39,0.95
40,0.95
41,0.95
42,0.95
43,0.95
44,0.95
45,0.95
46,0.95
47,0.95
48,0.95
49,0.95
50,0.95
51,0.9428571428571428
52,0.9357142857142857
53,0.9357142857142857
54,0.9357142857142857
55,0.9357142857142857
56,0.9285714285714286
57,0.9214285714285714
58,0.9214285714285714
59,0.9214285714285714
60,0.9214285714285714
61,0.9214285714285714
62,0.9142857142857143
63,0.9071428571428571
64,0.9071428571428571
65,0.9
66,0.8928571428571429
67,0.8928571428571429
68,0.8928571428571429
69,0.8928571428571429
70,0.8857142857142857
71,0.8785714285714286
72,0.8714285714285714
73,0.8571428571428571
74,0.85
75,0.8428571428571429
76,0.8285714285714286
77,0.8214285714285714
78,0.8214285714285714
79,0.8071428571428572
80,0.8
81,0.8
82,0.8
83,0.8
84,0.7857142857142857
85,0.7571428571428571
86,0.75
87,0.7357142857142858
88,0.7285714285714285
89,0.6928571428571428
90,0.6857142857142857
91,0.6714285714285714
92,0.6428571428571429
93,0.6214285714285714
94,0.6071428571428571
95,0.5571428571428572
96,0.5071428571428571
97,0.39285714285714285
98,0.30714285714285716
