,0
0,0.7
1,0.7
2,0.7
3,0.7
4,0.7
5,0.7
6,0.7
7,0.7
8,0.7
9,0.7
10,0.7
11,0.7
12,0.7
13,0.7
14,0.7
15,0.7
16,0.7
17,0.7
18,0.7
19,0.7
20,0.7
21,0.7
22,0.7
23,0.7
24,0.7
25,0.7
26,0.7
27,0.7
28,0.7
29,0.7
30,0.7
31,0.7
32,0.7
33,0.7
34,0.7
35,0.7
36,0.7
37,0.7
38,0.7
39,0.7
40,0.7
41,0.7
42,0.7
43,0.7
44,0.7
45,0.7
46,0.7
47,0.7
48,0.7
49,0.7
50,0.7
51,0.7
52,0.7
53,0.7
54,0.7
55,0.7
56,0.7
57,0.7
58,0.7
59,0.7
60,0.7
61,0.7
62,0.7
63,0.7
64,0.7
65,0.65
66,0.65
67,0.65
68,0.65
69,0.65
70,0.65
71,0.6
72,0.55
73,0.55
74,0.55
75,0.55
76,0.55
77,0.55
78,0.55
79,0.55
80,0.55
81,0.55
82,0.55
83,0.5
84,0.5
85,0.5
86,0.5
87,0.5
88,0.5
89,0.5
90,0.5
91,0.5
92,0.5
93,0.5
94,0.35
95,0.3
96,0.15
97,0.15
98,0.1
